,X1,X2,X3,Y1,Y2,Y3,V1,V2,V3,alpha,lon,lat,scalarproduct_XY,sun,cluster,id_int,J00,J45,J90,J135,A00,A45,A90,A135
45,-0.5566420774380941,0.6029526886262415,0.5714872289944802,-0.49838500096581084,-0.792744622521746,0.35095349303741546,-0.06552942580466482,-0.7176395888249113,0.6933248264016826,0.5644394827581273,2.3162788101992344,0.6083170574901036,-0.0,-3.1316986083984375,0.0,2.0,0.0,0.33,0.67,0.67,0.5644394827581273,0.22095868063932103,1.0063568440367694,1.7917550074342177
46,-0.564354440470659,0.5933973876709056,0.5739195116271918,0.05308704403432724,-0.6676856473385809,0.7425480739277139,0.22972165769990224,-0.5548685476618429,0.7995929306836362,0.2176425623842248,2.331114108841186,0.611284117218494,0.0,-3.5554962158203267,0.0,2.0,0.33,0.67,1.0,1.0,0.2176425623842248,0.5677556010132235,1.3531537644106717,2.13855192780812
47,-0.5636490628454529,0.5944814599682848,0.5734906518047345,0.12857632546452819,-0.6226796844204124,0.7718407472659988,0.2654453690652549,-0.5270994957413786,0.8072824026516342,0.17086773310445458,2.329578219099431,0.6107605184428957,0.0,-3.5101547241210938,0.0,2.0,0.33,0.67,1.0,1.0,0.17086773310445458,0.6145304302929937,1.399928593690442,2.1853267570878905
48,-0.5622342640882397,0.5955030322690089,0.5738194584044456,-0.8100664096519516,-0.5361907890911922,-0.2372590349119733,-0.3491407260723076,-0.7999315955045888,0.4880678189669799,0.9323548544574377,2.3274663707045185,0.6111619441708545,0.0,-3.4548110961914062,0.0,2.0,0.67,0.33,0.67,1.0,0.9323548544574377,0.14695669105998946,0.6384414723374588,1.423839635734907
49,-0.5613522357648707,0.5959217020265729,0.574248197607562,-0.8007424845412017,-0.5663783181067487,-0.19500531846427688,-0.32972329382397353,-0.7974877088547363,0.5052681503276185,0.9056513382072132,2.3263319066907218,0.6116855429464526,0.0,-3.426818847656236,0.0,2.0,0.67,0.0,0.67,1.0,0.9056513382072132,0.12025317480976494,0.6651449885876833,1.4505431519851317
50,-0.5554237206601728,0.6012328197216639,0.5744767941505972,0.7702260492635583,0.11154486427336087,0.6279407426581655,-0.6170532942558529,0.16512336108922654,-0.769402045533151,2.793399521080146,2.3166104227571136,0.6119647956267719,0.0,-3.1615676879882812,0.0,2.0,0.0,0.67,1.0,0.33,2.793399521080146,2.008001357682698,1.2226031942852496,0.4372050308878013
51,-0.5555550075245875,0.6023655358265674,0.5731617527912413,-0.8007648409634991,-0.573231547033601,-0.17372755383693889,-0.32833010102475696,-0.7922350605778438,0.5143568348455118,0.8922122949773736,2.3157901180086764,0.6103590927149369,0.0,-3.1302337646484375,0.0,2.0,0.67,0.33,0.67,1.0,0.8922122949773736,0.10681413157992534,0.6785840318175229,1.4639821952149712
52,-0.5571104792320564,0.6002992112990465,0.5738194584044456,-0.5124456246519464,-0.7922452389844415,0.3312807918995028,-0.07285537723884117,-0.7236504720605811,0.6863104897157587,0.5771803783082026,2.318896804077226,0.6111619441708545,0.0,-3.2188491821289062,0.0,2.0,0.33,0.0,0.67,1.0,0.5771803783082026,0.20821778508924568,0.993615948486694,1.7790141118841423
53,-0.5531691744339196,0.6027905133695058,0.5750195313620429,-0.18371571030728193,-0.761518095705969,0.6215615236633022,0.10931254768742611,-0.6317534520050924,0.7674231836462421,0.35395278428867494,2.313294297178324,0.6126280207425296,0.0,-3.074432373046875,0.0,2.0,0.33,0.67,1.0,1.0,0.35395278428867494,0.43144537910877334,1.2168435425062216,2.00224170590367
54,-0.5836884088835502,0.5695181112491546,0.5787546650301706,0.7025866639418682,-0.0030644494312878083,0.7115915884836749,-0.5770984838469231,0.2104370280126301,-0.7890966969787634,2.886425602169377,2.3684816081263853,0.6172007833827547,0.0,-4.628471374511719,0.0,2.0,0.33,1.0,1.0,0.67,2.886425602169377,2.1010274387719288,1.3156292753744805,0.5302311119770322
55,-0.5818587623040702,0.5699573722960065,0.5801628861754318,-0.5228019950490151,-0.808562436952336,0.27000899896571834,-0.06639501522699837,-0.744261352013835,0.6645801244782641,0.616450286478075,2.3665268393641514,0.6189286593422292,0.0,-4.584693908691406,0.0,2.0,0.33,0.0,0.67,0.0,0.616450286478075,0.16894787691937327,0.9543460403168216,1.7397442037142699
56,-0.5788543929729916,0.5732242298940139,0.5799496305700039,0.4120854715171284,-0.40807736786397514,0.8146523344358108,0.4120854715171284,-0.40807736786397514,0.8146523344358108,0.0,2.361081412097929,0.61866685995443,0.0,-4.432273864746094,0.0,2.0,0.0,1.0,1.0,0.67,0.0,0.7853981633974483,1.5707963267948966,2.356194490192345
57,-0.5812484116148219,0.5709121110881211,0.5798358779932055,-0.2393390657544897,-0.8009958433972604,0.5487462714807998,0.09528765325503198,-0.6599122326314447,0.7452758605781694,0.4159119594186681,2.365165482547596,0.6185272336142704,0.0,-4.5449066162109375,0.0,2.0,0.33,0.0,0.67,1.0,0.4159119594186681,0.3694862039787802,1.1548843673762283,1.9402825307736766
58,-0.5801252442307381,0.5726006826736274,0.5792953989183085,-0.811438917220648,-0.3443990646727302,-0.4721823459981653,-0.4351362961660706,-0.8190787958454286,0.3738533535429051,1.09432145431625,2.3627220215948035,0.6178640084985126,-0.0,-4.472076416015625,0.0,2.0,1.0,0.33,0.67,1.0,1.09432145431625,0.3089232909188018,0.4764748724786465,1.2618730358760948
59,-0.5784137614410642,0.5735682161621445,0.5800491547999834,0.42823178428933206,-0.3917109030268218,0.8143587092763771,-0.420083751499528,0.400096730524868,-0.8145257810219355,3.129898979559364,2.3604007336896515,0.6187890330020696,-0.0,-4.413093566894517,0.0,2.0,0.0,0.67,0.67,0.33,3.129898979559364,2.344500816161916,1.5591026527644676,0.7737044893670194
